Längengrad;Breitengrad;ID;company;Adresse;PLZ;Ort;Bezirk;Nutzung der Grundstücksfläche nach dem FNP;Präsenz im Stadtbild ;url;caption
13.3764286;52.4874402;2.01;FLINK;Katzbachstraße 17;10965;Berlin;Friedrichshain-Kreuzberg;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-2-01.jpg;Abb. 063 © Eigene Aufnahme (Fotoaufnahme vom 08.06.2023 / 09:10 Uhr) 
13.4131223613907;52.5483529873473;2.02;FLINK;Schönhauser Allee 120;10437;Berlin;Pankow;Fläche mit Mischnutzungscharakter; Lager in Ladengeschäft, direkt an öffentlichem Straßenland. Bunte Folie dient als Reklame.;https://odis-berlin.de/images/standortaufnahmen/ID-2-02.jpg;Abb. 065 © Eigene Aufnahme (Fotoaufnahme vom 31.05.2023 - 17:30 Uhr) 
13.4154226232815;52.5257474307018;2.03;FLINK;Karl-Liebknecht-Straße 34;10178;Berlin;Mitte;Sonderbaufläche;Lager direkt an öffentlichem Straßenland. Bunte Folie dient als Reklame.;https://odis-berlin.de/images/standortaufnahmen/ID-2-03.jpg;Abb. 069 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 17:50 Uhr) 
13.3878844;52.5329782;2.04;FLINK;Gartenstraße 86;10115;Berlin;Mitte;Fläche mit Mischnutzungscharakter;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-2-04.jpg;Abb. 072 © Eigene Aufnahme (Fotoaufnahme vom 05.04.2023 - 18:50 Uhr) 
13.4355907470509;52.5358935373823;2.05;FLINK;Bernhard-Lichtenberg-Straße 4a;10407;Berlin;Pankow;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. Bunte Folie dient als Reklame.;https://odis-berlin.de/images/standortaufnahmen/ID-2-05.jpg;Abb. 075 © Eigene Aufnahme (Fotoaufnahme vom 31.05.2023 - 17:00 Uhr) 
13.3456941;52.4976964;2.06;FLINK;Martin-Luther-Straße 18;10777;Berlin;Tempelhof-Schöneberg;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-2-06.jpg;Abb. 077 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 18:20 Uhr) 
13.4085329;52.51179;2.07;FLINK;Wallstraße 27;10179;Berlin;Mitte;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-2-07.jpg;Abb. 081 © Eigene Aufnahme (Fotoaufnahme vom 13.04.2023 - 17:40 Uhr) 
13.3305274;52.4879321;2.08;FLINK;Bundesallee 39;10717;Berlin;Charlottenburg-Wilmersdorf;Fläche mit Mischnutzungscharakter; Lager in Ladengeschäft, direkt an öffentlichem Straßenland. Bunte Folie dient als Reklame.;https://odis-berlin.de/images/standortaufnahmen/ID-2-08.jpg;Abb. 084 © Eigene Aufnahme (Fotoaufnahme vom 11.05.2023 - 15:00 Uhr) 
13.4393796;52.4805949;2.09;FLINK;Anzengruberstraße 20;12043;Berlin;Neukölln;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. ;https://odis-berlin.de/images/standortaufnahmen/ID-2-09.jpg;Abb. 087 © Eigene Aufnahme (Fotoaufnahme vom 12.04.2023 - 19:20 Uhr) 
13.4763205;52.5006712;2.10;FLINK;Hauptstraße 4;10317;Berlin;Lichtenberg;Wohnbaufläche;Lager in Ladengeschäft, direkt an öffentlichem Straßenland. Bunte Folie dient als Reklame.;https://odis-berlin.de/images/standortaufnahmen/ID-2-10.jpg;Abb. 090 © Eigene Aufnahme (Fotoaufnahme vom 15.04.2023 - 15:00 Uhr) 
13.3611294251087;52.5522222044497;2.11;FLINK;Oudenarder Straße 16;13347;Berlin;Mitte;Fläche mit gewerblichem Charakter ;Kein direkter Zugang zur Straße. Lager nach Außen hin nicht als solches erkennbar. ;https://odis-berlin.de/images/standortaufnahmen/ID-2-11.jpg;Abb. 092 © Eigene Aufnahme (Fotoaufnahme vom 11.04.2023 - 19:40 Uhr) 
